0	14937	1
0	11744	1
0	15646	1
0	13076	1
0	13066	1
0	14187	1
0	13923	1
0	12047	1
0	12247	1
0	10684	1
0	14171	1
0	12993	1
0	13095	1
0	14127	1
0	12511	1
0	10788	1
0	13082	1
0	12234	1
0	8549	1
0	11742	1
0	15030	1
0	12710	1
0	13062	1
0	13810	1
0	13085	1
0	0	1
1	9617	1
1	11637	1
1	292	1
1	13474	1
1	6876	1
1	11327	1
1	10727	1
1	6305	1
1	8123	1
1	13059	1
1	8369	1
1	6323	1
1	961	1
1	11882	1
1	7118	1
1	1183	1
1	10241	1
1	11805	1
1	15261	1
1	14962	1
1	14921	1
1	7963	1
1	15144	1
1	12772	1
1	13046	1
1	6862	1
1	0	1
1	9411	1
1	9974	1
1	13746	1
1	6385	1
1	10056	1
1	13057	1
1	10327	1
1	6875	1
1	975	1
1	8677	1
1	8533	1
1	12518	1
1	605	1
1	15736	1
1	11764	1
1	7315	1
1	10789	1
1	11603	1
1	10774	1
1	10753	1
1	306	1
1	15763	1
1	13690	1
1	13786	1
1	12793	1
1	7935	1
1	7004	1
1	13870	1
1	7173	1
1	7360	1
1	11836	1
1	7374	1
1	7800	1
1	10121	1
1	7887	1
1	6677	1
1	10174	1
1	13761	1
2	15418	1
2	511	1
2	8809	1
2	8626	1
2	10707	1
2	11677	1
2	13634	1
2	14436	1
2	12381	1
2	1887	1
2	0	1
2	5021	1
2	9740	1
2	10763	1
2	4857	1
2	15240	1
2	6932	1
2	12291	1
2	11881	1
2	2306	1
2	13058	1
2	11381	1
2	495	1
2	13288	1
2	10772	1
2	11472	1
2	7103	1
3	13466	1
3	5494	1
3	13145	1
3	6651	1
3	838	1
3	10715	1
3	0	1
3	12803	1
3	7876	1
3	10607	1
3	13139	1
3	14775	1
3	8467	1
3	12607	1
3	9493	1
3	11559	1
3	12271	1
3	13360	1
3	14163	1
3	13706	1
3	8607	1
3	4856	1
3	12087	1
3	12179	1
3	14570	1
3	11415	1
3	15666	1
3	12575	1
3	14989	1
3	15484	1
3	11179	1
3	14776	1
3	8677	1
3	14354	1
3	14135	1
3	10395	1
3	15043	1
